Project Id;Project Description
66;"Fundesplai es una entidad sin ánimo de lucro que desde hace más de 50 años trabaja en favor de los niños y niñas, la juventud, las familias y
el tercer sector social, con la finalidad educativa y de mejorar el medio ambiente y promover la ciudadanía y la inclusión social, con voluntad transformadora.
Fundesplai desarrolla proyectos y programas de educación ambiental y de capacitación de las personas para actuar en favor de un mundo más justo y sostenible, desarrolla talleres de educación ambiental en escuelas, gestiona escuelas de naturaleza y centros de información ambiental, realiza proyectos de voluntariado ambiental y campos de trabajo, etc. En estas actividades y con sus beneficiarios (niños, niñas y jóvenes), Fundesplai impulsa y participa en proyectos de ciencia ciudadana ya existentes, con el objetivo de fomentar el compromiso de niños, niñas y jóvenes en la transformación de su entorno.
Por otro lado, Fundesplai impulsa la educación crítica, sistémica (que tenga en cuenta la globalidad de las soluciones) y colaborativa. Para ello estudia, analiza, difunde y promueve metodologías y herramientas pedagógicas que fomenten la participación ciudadana y el compromiso de niños, niñas y jóvenes en la transformación de su entorno, como es el caso de la ciencia ciudadana. Fundesplai recopila y elabora recursos pedagógicos que faciliten la participación en proyectos de ciencia ciudadana con una mirada particular hacia los educadores de espacios formales y no formales. En esta línea, se ha publicado una guía sobre educación ambiental y ciencia ciudadana y diversas recopilaciones de recursos pedagógicos.
"
67;"WeCount es el piloto en España de un proyecto europeo que tiene como objetivo contabilizar y medir la movilidad en las ciudades. Más de 200 vecinos y comunidades ciudadanas de Madrid y Barcelona instalarán en sus ventanas unos sensores automáticos para recolectar a tiempo real datos sobre cuántos coches, vehículos pesados, bicicletas y peatones pasan por las calles, y a qué velocidad.
La iniciativa, impulsada por Ideas for Change y otros seis socios europeos y respaldada por la Comisión Europea, se desarrollará de manera paulatina en cinco países de Europa (Bélgica, Eslovenia, Irlanda, Gales y España). Se espera que los datos recogidos proporcionen una escala temporal y espacial más rigurosa y contrastada que las campañas clásicas de conteo de tráfico. Asimismo, el proyecto busca codiseñar junto a los ciudadanos soluciones informadas que aborden los desafíos de la movilidad.
Los sensores, llamados Telraam, contienen una microcomputadora Raspberry Pi y una cámara de baja resolución. Los datos recogidos se procesan en el propio dispositivo y se envían a una central de datos que los visualiza en una plataforma abierta. Toda la información recogida cumple escrupulosamente con las políticas de privacidad, ya que el sensor nunca graba imágenes, sino que, a través de un algoritmo, reconoce el tamaño y la velocidad de los elementos, y los clasifica entre camiones, coches, bicicletas y peatones. Para que el sensor mida de manera correcta, la ventana debe tener una buena vista de la calle.
"
68;"Plataforma MARNOBA está en funcionamiento desde 2013 gracias al apoyo de la Fundación Biodiversidad del MITERD, consiste en una aplicación móvil de libre descarga (MARNOBA) en la que el ciudadano puede enviar la caracterización de los residuos que encuentra en playas, actividades de buceo, pesca de arrastre y navegación en general (flotantes). Estos datos alimentan una base de datos que puede ser consultada a través del Visor MARNOBA (https://marnoba.vertidoscero.com/collections). Anualmente estos datos son analizados, validados y enviados al programa de seguimiento de basuras marinas del MITERD (sección datos adicionales) y al programa Marine LitterWatch de la Agencia Europea de Medioambiente. Plataforma MARNOBA sirve además como herramienta de toma de datos de diferentes proyectos nacionales e internacionales.
"
69;"CONOCIMIENTO: Para poder abordar el problema de la basuraleza, es necesario saber más sobre su cantidad, composición, origen, comportamiento, áreas de acumulación, etc. De esta manera, podremos identificar soluciones eficaces para su prevención.
PREVENCIÓN: De nada sirve el conocimiento si la ciudadanía no comprende el valor de mantener limpios los entornos naturales. Por eso, con este eje buscamos cambiar hábitos, informar y educar en el cuidado y el respeto de la naturaleza. 
PARTICIPACIÓN: La movilización ciudadana es una de las claves para acabar con el problema de la basuraleza. Si hay una forma de concienciar desde la participación es animando a la gente a salir al campo y limpiar lo que nadie debía haber ensuciado.
"
70;"Lo que propone el Observatorio es que sean los propios cazadores los que todos los años participen en censos de las especies cinegéticas, para conocer el estado de conservación de las poblaciones y con el tiempo poder hacer recomendaciones de gestión.
El Observatorio Cinegético se basa en un calendario anual de censos, de tal forma que cada una de las especies cinegéticas se censa en un momento concreto del año. En resumen, se trata de conteos de las especies de caza que se realizan a lo largo de un itinerario de censo con ayuda de la aplicación para móviles CensData. En la actualidad disponemos de cinco campañas anuales de censo: de aves residentes, de mamíferos nocturnos (ambos en primavera), de aves migratorias estivales (primavera-verano), de caza mayor (otoño-invierno) y de aves migratorias invernantes (invierno).Cada colaborador del Observatorio participa en las campañas que desea, pero para que podamos utilizar su información debe debe seguir la metodología de censo propuesta.
"
71;"Se construirán pajareras con material reciclado, se realzará una observación sistemática de lo que ocurre y un mantenimiento. También se monitorizará una de ellas.
"
72;"Proyecto en fase de aplicación <> Enero/Mayo 2021
"
73;"""The MECO project"" es una iniciativa internacional a nivel mediterráneo que pretende mejorar el conocimiento actual de las poblaciones de tiburones y rayas (el grupo animal de los elasmobranquios), a la vez que mostrar a la ciudadanía la presencia de éstas especies en nuestras aguas y las problemáticas a las que se enfrentan. El proyecto en España está coordinado por SUBMON (submon.org), con la colaboración desde 2019 de LAMNA (associaciolamna.org), y se desarrolla a través del grupo de Facebook: Tiburones y Rayas del Mediterráneo Occidental ( facebook.com/groups/TiburonesRayasMediterraneoOccidental ). A través de este grupo cualquier persona puede compartir sus avistamientos de tiburones y rayas para que se incluyan en la base de datos mediterránea, a la vez que se publican noticias y contenidos divulgativos sobre las especies, creando una comunidad entorno a los elasmobranquios.
"
74;
75;"El programa Ocean Initiatives anima a la gente a organizar recogidas de residuos en sus entornos acuáticos cercanos para recoger información sobre las basuras marinas que podemos encontrar en estos lugares. El material necesario para las recogidas (guantes, bolsas, formularios...) se proporciona gratuitamente desde Surfrider y a cambio se pide rellenar los datos con información sobre los residuos encontrados. Se puede organizar una recogida propia o participar en una que se vaya a llevar a cabo.
"
76;"Encontrar un fármaco utilizado en el tratamiento de otras enfermedades virales que actúe contra el coronavirus 2 (SARS-CoV-2) es el propósito del proyecto de ciencia ciudadana COVID-PHYM, impulsado por el Consejo Superior de Investigaciones Científicas (CSIC) y la Fundación Ibercivis. Puesto que algunos medicamentos en uso ya han demostrado ser suficientemente seguros para la salud humana, podrían estar disponibles para tratar a pacientes con COVID-19 mucho antes que un compuesto de nueva creación y, por tanto, acelerar el control de la pandemia.
Bajo esta premisa, el Grupo Biophym del Instituto de Estructura de la Materia del CSIC se ha propuesto realizar simulaciones de la interacción de fármacos empleados contra el ébola, la infección por VIH, la gripe o la hepatitis B con la maquinaria de replicación del genoma del virus SARS-Co-V. Para ello recurrirá a técnicas informáticas y a la ayuda de los ordenadores de miles de personas voluntarias conectadas a través de la plataforma de computación distribuida de Ibercivis. Estas operaciones mostrarán si alguna de las moléculas logra inhibir una proteína clave en la multiplicación del virus denominada ‘ARN polimerasa dependiente de ARN’. De ser así, el fármaco se convertiría en un candidato idóneo para ser probado en ensayos clínicos con personas.
"
77;"Es un proyecto realizado por el grupo Intervenciones Traslacionales para la Salud (ITS) de la Universidad de Oviedo (Asturias), junto con el Servicio de Ginecología y Obstetricia y el de Nutrición y Endocrinología del Hospital Universitario de Asturias (HUCA)
"
78;"El Proyecto Ríos es una iniciativa de voluntariado ambiental impulsada por Red Cambera que se desarrolla en Cantabria desde el año 2008. Pretende capacitar a la ciudadanía en el conocimiento, puesta en valor y mejora de los ecosistemas fluviales a través de su estudio y conservación.
"
79;"FLOODUP es un proyecto de ciencia ciudadana para mejorar el conocimiento sobre el impacto de las inundaciones desarrollado con el apoyo de la Fundación española para la Ciencia y la Tecnología (FECYT- Ministerio de Ciencia e Innovación) en el marco del proyecto AQUELOO (FCT-18-13408), los proyectos PIRAGUA (Interreg POCTEFA-EFA210/16) y AGORA (ACA210/18/00009), impulsado desde la Universidad de Barcelona y con la colaboración de distintas instituciones. El proyecto tiene como objetivo recoger observaciones de impactos de riesgos naturales, como inundaciones, buenas prácticas de adaptación y malas prácticas o zonas vulnerables. Para facilitar la participación se ha desarrollado una aplicación para dispositivos móviles Android y IOS en castellano, francés, catalán e inglés (próximamente también en vasco). Contribuir al proyecto es muy sencillo y rápido y está al alcance de cualquier persona que tenga un dispositivo móvil siempre con precaución y sin ponerse en riesgo al tomar la fotografía. Los usuarios registrados pueden subir observaciones mediante un breve formulario. En este formulario se incluyen cuestiones relacionadas con las observaciones, su relación con el cambio climático y la aceptabilidad de las medidas de adaptación. Las observaciones, una vez subidas a la red por el usuario, son validadas por el equipo del proyecto. Las observaciones subidas se pueden consultar en el mapa del proyecto. En la App también se pueden consultar recursos educativos. El proyecto se complementa con talleres participativos y actividades educativas. La información recopilada se utiliza en las investigaciones que realiza el grupo como la reconstrucción de eventos pasados. A través de las encuestas y los grupos de trabajo se analiza la percepción y nivel de resiliencia de las comunidades.
"
80;"Dentro del marco de la ciencia ciudadana, la propuesta de investigación con la cooperación ciudadana se fundamenta en el mutuo reconocimiento de la diversidad y complementariedad de los diversos agentes del ámbito de la salud mental y en su potencial de trabajo colaborativo en plan de igualdad. El proceso busca hacer visible la amplia comunidad de personas e instituciones que participan del ámbito de la Salud Mental (Entorno de Conocimiento) y situar en su centro a las personas con experiencia propia en salud mental y sus entornos familiares (Co-investigadoras). El Entorno de Conocimiento, con su bagaje, enmarca, hace seguimiento y ayuda en la investigación de las personas co-investigadoras. Organizadas en varios grupos cooperativos, estas personas se convierten en co-investigadoras, siendo el centro y el motor de la investigación, al tiempo que co-actoras en las redes de apoyo social. El resultado de la interacción y el trabajo de los grupos cooperativos y la ciudadanía permitirá construir una conversación digital (chatbot) que aportará el conocimiento necesario para legitimar las propuestas que las personas con experiencia propia sitúan en el centro de la investigación desde el momento inicial.
"
81;"Trabajaremos simultáneamente con organizaciones de la sociedad civil en una amplia escala geográfica (España, Austria, Alemania, países de Europa del Este, Paneuropeo y Argentina), abordando cuatro temas sociales: Atención en Salud Mental, Empleo Juvenil, Justicia Ambiental e Igualdad de Género.
"
82;"El proyecto, de tres años de duración, financiado por la Comisión Europea, pretende desarrollar 5 proyectos piloto de ciencia ciudadana sobre condicionantes ambientales y salud y generar un toolkit para que cualquier persona pueda crear su propio proyecto de ciencia ciudadana.
"
83;"#MelanogasterCTF ha ido creciendo desde su inicio en 2016 con dos escuelas españolas, en Baza y Tomelloso, hasta las actuales 14 escuelas participantes en 6 comunidades autónomas diferentes (Andalucía, Aragón, Castilla-La Mancha, Cataluña, Navarra y Comunidad Valenciana). En la pasada edición 2019 se incorporó también la escuela alemana Justus von Liebig, en el municipio de Waldshut-Tiengen (Baden-Wurtenberg), en plena Selva Negra. En futuras ediciones, se estudia la incorporación de nuevas escuelas en Europa y el resto del mundo. Los estudiantes de estas escuelas recogen («colectan») muestras biológicas de Drosophila (mosca de la fruta) en campos de árboles frutales cercanos a sus centros educativos, las clasificación y las preparan para su posterior análisis científico, que incluye la secuenciación* de su ADN* y el análisis bioinformático* de estas secuencias.
"
84;"Con el objetivo de que la ciencia ciudadana adquiera un papel más relevante en la investigación y la innovación, se propone un enfoque nuevo dentro de la iniciativa europea SwafS, “Ciencia con y para la sociedad” guiado por la siguiente pregunta: ¿de qué manera el compromiso ciudadano con la investigación y la innovación puede mejorar a la ciudadanía?
Hasta la fecha la mayoría de proyectos han situado el análisis de la calidad científica de las actividades de ciencia ciudadana por encima de la importancia que tiene lo “ciudadano” en dicha expresión. EnviroCitizen parte de la premisa de que el potencial social de la ciencia ciudadana se extiende hasta la raíz misma de lo que significa ser un ciudadano de este planeta. Queremos entender las formas en las que se han usado hasta la fecha las actividades de ciencia ciudadana y cómo se pueden usar en el futuro para cultivar una ciudadanía ambiental. Esto implica nuevas maneras de pensar y de actuar en todos los aspectos de la vida para promover la sostenibilidad ambiental. Creemos que tal compromiso con la ciudadanía es de vital importancia de cara a poder recomendar buenas prácticas de cocreación y codiseño. Prevemos además muchas oportunidades de sinergia con otros proyectos SwafS de Ciencia Ciudadana encaminados a este fin.
El proyecto EnviroCitizen tiene como objetivo descubrir los procesos a través de los cuales los científicos ciudadanos pueden cultivar su ciudadanía ambiental.
Se ha decidido estudiar las actividades de seguimiento de aves porque tienen un gran potencial para desarrollar la ciudadanía ambiental.
EnviroCitizen se propone:
(1)	Analizar la evolución de la implicación ciudadana en actividades de ciencia ciudadana sobre seguimiento de aves.
(2)	Evaluar la manera en que los ciudadanos adquieren destrezas características de la ciudadanía ambiental y las ponen en práctica a través de actividades de ciencia ciudadana sobre seguimiento de aves.
(3)	Desarrollar intervenciones comunitarias innovadoras diseñadas para enriquecer programas de ciencia ciudadana sobre seguimiento de aves existentes con el fin de cultivar la ciudadanía ambiental en el futuro.
Se ha logrado la colaboración de organizaciones ornitológicas sin ánimo de lucro como grupos de apoyo externos al proyecto con el fin de facilitar las tareas de investigación así como para conseguir un mayor impacto.
El proyecto comenzó el 1 de abril de 2020.
"
85;"El objetivo de Cos4Cloud es mejorar la tecnología de los observatorios ciudadanos, de manera que aumente la cantidad y la calidad de las observaciones que reciben y, finalmente, contribuir a su viabilidad a largo plazo.
Cos4cloud está trabajando en diez servicios tecnológicos que pondrá  a disposición de toda la comunidad en la nueva “Nube Europea de Ciencia Abierta” (EOSC en sus siglas en inglés), un espacio virtual dirigido al personal científico europeo.
Cos4Cloud cuenta con la participación de una red de proyectos de ciencia ciudadana enfocados en biodiversidad y medioambiente. Estas plataformas serán las encargadas de evaluar con sus usuarios los diferentes servicios. En la primera parte del proyecto colaborarán cuatro de los mayores observatorios ciudadanos de biodiversidad en Europa: Natusfera, iSpot, PlantNet y Artportalen. En la segunda parte, los servicios se probarán en plataformas enfocadas al monitoreo ambiental en el agua (Freshwater Watch y KdUINO), de olores en la ciudad (OdourCollect), en el aire (CanAir.io) y de aerosoles (iSpex).
"
86;"Las misiones diseñadas por los participantes se realizarán en la base militar Gabriel de Castilla, ubicada en la Isla Decepción. Solo hay que realizar la inscripción en http://desafiobajozero.com/ y proponer como actividad una misión científica o el vuelo de dron, o ambas. Las misiones de los 20 equipos seleccionados serán ejecutadas por los miembros de la expedición antártica durante los primeros meses de 2021, gracias a la colaboración del Ejército de Tierra.
"
87;"Evaluar la calidad del aire en distintas ciudades españolas analizando la señal magnética de plantas de fresa que han sido previamente repartidas entre la población para estar expuestas durante varios meses al entorno y poder así evaluar las diferencias espaciales entre ciudades y dentro de las mismas
"
88;"Mediante sesiones de esnórquel y submarinismo se fotografían todos los organismos avistados en las playas y litoral de Barcelona, Sant Adrià del Besós y Badalona mediante la participación de los ciudadanos, para así determinar la absencia y presencia de especies y de este modo poder publicar la primera guía fotográfica del Barcelonés, con las fotografías de los participantes.
"
89;"En la portada de la web podéis ver la presentación y la infografía de las fases del proyecto https://www.ucm.es/geovacui/
"
90;"La campaña Retorno al Mar es una iniciativa implusada por el proyecto Cos4Cloud, el Instituto de Ciencias del Mar (ICM-CSIC), la empresa Anèl·lides – Serveis ambientals marins, la asociación medioambiental Xatrac y tres centros de submarinismo: Oceanicos, Escafandra Calafell y Plàncton Diving. El objetivo de la iniciativa es recoger el máximo de observaciones de biodiversidad marina en la costa durante los meses de julio, agosto y septiembre de 2020.
"
91;"La ubicua presencia de microplásticos en nuestros océanos es un problema mundial de preocupación social creciente. Si bien muchos estudios han obtenido datos sobre la distribución de microplásticos en playas o a mar abierto, no hay información sobre microplásticos a pocos metros de la costa, una zona de transición crítica donde se produce el mayor intercambio de desechos entre el continente y el mar, y donde los grandes buques oceanográficos tienen dificultades de acceso para tomar muestras. El proyecto “Paddle Surfing for Science” va a permitir resolver esta laguna de conocimiento. Con el soporte de Surfrider Europe, diferentes colectivos de ciudadanos que dispongan de vehículos acuáticos de tracción humana obtendrán muestras científicas mediante el arrastre de una red. Las muestras se enviarán a la Universitat de Barcelona para su análisis e interpretación, y los resultados van a ser incorporados de manera continua en la página web para convertir a los colectivos en los verdaderos promotores de la investigación a la vez que aumentan su concienciación ambiental.
"
92;"D-NOSES (Distributed Network for Odour Sensing Empowerment and Sustainability) es un proyecto europeo (H2020-Swafs-2016-17-789315) que tiene como objetivo empoderar a los ciudadanos e involucrarlos en acciones cívicas para combatir la contaminación por olores, promoviendo el compromiso y fomentando estrategias participativas en todos los niveles. 
La iniciativa aplica procesos de co-creación, investigación científica, ciencia ciudadana y otras herramientas para involucrar a las comunidades afectadas y a las partes interesadas relevantes de la cuádruple hélice en la canalización de datos cuantitativos y abiertos y en el co-diseño de soluciones locales. Como resultado, el proyecto busca allanar el camino para futuras regulaciones, con un enfoque de gobernanza ascendente y multinivel. También ha garantizado el acceso a la información mediante la creación del Observatorio Internacional del Olor, una herramienta participativa online.
"
93;"Ver arriba.
"
94;"La pregunta científica a contestar: ¿Cuál es el impacto de la actividad humana en la Contaminación Lumínica ?
El brillo de cielo nocturno durante el aislamiento debido al COVID-19 fue más oscuro porque no había actividad humana por la noche. Comparando esas medidas de brillo nocturno del cielo durante y tras el aislamiento podemos estimar esa fracción.
"
95;"Ciencia ciudadana de todos los cazadores y amantes de la naturaleza para salvaguardar y aprovechar deseablemente la codorniz y sus hábitats. Nuestro propósito es avanzar en el conocimiento de la codorniz y en el desarrollo de técnicas para su aprovechamiento sostenible. Esto exige fomentar la formación del cazador y dotarle de herramientas para convertir la caza en una actividad sostenible y certificada. Mediante dinamizadores distribuidos por todo el territorio estimulamos a los cazadores para recoger información de sus jornadas y capturas. Esto nos permite analizar los datos de la población de codorniz y los resultados de su caza con técnicas estadísticas objetivas. Pondremos a disposición de todos los cazadores los resultados para que los apliquen, apoyaremos a todas las sociedades de cazadores y naturalistas para que mejoren la gestión y la conservación de la codorniz y sus hábitats.
"
96;"La contaminación lumínica es un problema de todos que no solo incide, y severamente, sobre la economía regional, sino que afecta tanto a nuestra salud como a la biodiversidad de nuestro entorno. Es nuestro firme propósito afrontar el problema de forma rigurosa, cuantificándolo científicamente, proponiendo medidas correctoras e incentivando una legislación regional seria en la que se implique y participe activamente la Consejería de Infraestructuras, Medio Ambiente y Cambio Climático.
"
97;"Las comunidades biológicas del suelo son ecosistemas en miniatura que viven en los primeros centímetros del suelo. Ayudan a mantener los suelos sanos y pueden contribuir a mitigar los efectos del cambio climático. Están formadas principalmente por líquenes, musgos y algas, y cubren buena parte del suelo de casi todos los ecosistemas ibéricos. El programa de ciencia ciudadana ‘SoilSkin: La piel viva del suelo’ tiene como objetivo divulgar la importancia de estas comunidades, y busca que los ciudadanos ayuden a los científicos a explorar dónde crecen y qué amenazas de conservación enfrentan.
"
98;"La metodología del proyecto eCoCrEALab está basada en el uso de varias plataformas de ciencia ciudadana digitales ya desarrolladas, que permiten registrar datos indicadores del estado de salud  de los sistemas fluviales. Al usarlas juntas dentro de un marco metodológico común, permiten obtener una visión global del estado de estos ecosistemas. Además, al contar con su propia plataforma web, cumplen con los requisitos de ciencia abierta y continuidad en el tiempo más allá de la duración de este proyecto.
Los indicadores y sus respectivas plataformas de ciencia ciudadana valoradas en el proyecto eCoCrEALab son las siguientes:
a) Datos de biodiversidad de ribera a través de la plataforma Observation.org (ObsMapp)
b) Continuidad fluvial a través de la plataforma ciudadana del proyecto europeo AMBER (Barrier Tracker)
c) Valoración del estado hidrológico y ecológico de la Universidad de Barcelona (RiuNet)
d) Caracterización de los residuos que están presentes en orillas y cauce de los ríos mediante la herramienta de ciencia ciudadana e-Litter (e-Litter).
También se miden diferentes parámetros de calidad del agua mediante un sencillo kit de evaluación (colorimetría) y educación ambiental: oxigeno disuelto, nutrientes, temperatura y turbidez
En el proyecto eCoCrEALab, se forma en el uso de esta metodología a determinados laboratorios colaborativos formados por colegios, entidades medioambientales y ciudadanos en general  de Burgos para obtener mediante participación ciudadana, datos que complementan a los recogidos por los  investigadores y asi obtener una primera caracterización espacial del estado hidrológico, ecológico, de biodiversidad de ribera y del tipo de residuos a lo largo del río Arlanzón.
"
99;"El Centro de Centro de Estudios Ambientales, en colaboración con la Unidad de Anillo Verde y Biodiversidad del Departamento de Medio Ambiente y Salud Pública del Ayuntamiento de Vitoria-Gasteiz, pone en marcha el proyecto de «Red de Participación en Ciencia Ciudadana» en 2013 para el seguimiento y conservación de la diversidad biológica que alberga nuestro Municipio. Este proyecto nace con la idea de promocionar y educar a la ciudadanía en materia de biodiversidad y debido a la necesidad actual de profundizar en el conocimiento y gestión de determinados grupos faunísticos y florísticos que habitan en nuestro entorno natural más cercano. En la edición 2019-2020, entra en colaboración la ayuda de la Fundación Española para la Ciencia y la Tecnología - FECYT y el proyecto pasa a denominarse ""100&CIA para Vitoria-Gasteiz"", contando con más de 100 participantes que recogen datos a lo largo del municipio.
"
100;"Aunque el objetivo final es monitorizar la fauna insectívora, este proyecto va mucho más allá. Esta monitorización se hace a través de pequeñas casetas modulares diseñadas por alumnos y alumnas de la
Escuela Superior de Diseño de Aragón (ESDA) que pueden configurarse para alojar pájaros, murciélagos o
salamandras. A estas casetas se añaden sensores basados en Arduino que permiten medir temperatura y
humedad exterior o interior, así como detectar cuándo hay un huésped dentro. Gracias a The Things
Network (TTN), una red abierta, libre y gratuita del IoT, las casetas podrán comunicarse enviando los datos
a la nube. Cada centro escolar, además de estar encargado de montar, monitorizar y colocar su caseta,
deberá cuidar del correcto funcionamiento de los sensores y de su comunicación con la nube. Cada centro
tendrá también su propio espacio en la Nube (cedido por el Instituto de Biocomputación y Física de Sistemas
complejos - BIFI) donde se podrán analizar los datos ofrecidos por su caseta. Los datos recogidos por todas
las casetas instaladas en España estarán disponibles y listos para ser comparados y trabajados de manera
abierta.
"
101;"Street Spectra es un proyecto de ciencia ciudadana con el que se pretende localizar y caracterizar fuentes de alumbrado público. Los voluntarios usan una económica red de difracción sobre la cámara de sus teléfonos para tomar fotos de las farolas junto con sus espectros de emisión.
La creación del proyecto ha sido motivada por el cambio global del antiguo alumbrado público a nuevos LED.
"
102;"El objetivo del proyecto es acercar la Inteligencia Artificial a la ciudadanía. Queremos hacerlas participes en el desarrollo de un robot conversacional llamado Serena. La finalidad es que Serena sea capaz de detectar los sentimientos de soledad a partir de una conversación.
"
103;"El Observatorio de la Ciencia Ciudadana en Zaragoza es un organismo que impulsa y difunde la actividad científica realizada, alentada por los ciudadanos y ciudadanas de Zaragoza y su entorno.
Es también un repositorio que recoge proyectos de ciencia ciudadana realizados, en marcha y en proceso en nuestra ciudad.
Es un foco de estudio para monitorizar la evolución de este tipo de prácticas y su evaluación abierta por parte de todos los zaragozanos.
"
104;"La Chaminera es un espectáculo músico-teatral en el que el Profesor Fliscorno y la Doctora Corchea hablarán de conceptos de diversas áreas de la ciencia a través de la música 
¿Qué es el sonido? ¿Por dónde viaja? ¿Podemos verlo? ¿Cómo se mide? ¿Afecta a nuestro estado de ánimo? ¿Es posible tocar un instrumento sin tocarlo? ¿Importa el tamaño? ¿Simetría, traslación, rotación...? ¿Cómo convertir una percha en una campana? ¿Y una pajita en una flauta de doble lengüeta?¿Qué relación tiene la música con el Arco iris? ¿Qué aportó Pitágoras a la música? ¿Cuándo surge la música?... 
Un montón de preguntas y respuestas a través de una veintena de instrumentos musicales y de diversos artefactos sonoros
"
105;"Utilizando diferentes técnicas de investigación (cualitativas y cuantitativas), se quiere conocer la percepción de las personas en confinamiento en el ámbito nacional, sobre sus propias viviendas. Así, se ahonda en cuestiones de habitabilidad, confort térmico, acústico, lumínico, consumo de energía, hábitos de uso y ocupación, preferencias en los espacios, grado de satisfacción con su vivienda, y alteraciones sufridas en el seno de la vivienda a raíz del confinamiento, con especial incidencia en el teletrabajo, por ejemplo. Además, se incluye una segunda parte (cualitativa) donde se solicitan 3 fotografías de determinados espacios de la vivienda (que elige el participante), y cierto texto descriptivo para contextualizar. Es un estudio del CSIC, con valoración favorable por su Comité de Ética, y es completamente anónimo y sin financiación alguna.
"
106;"Hacer ciudades habitables es uno de los retos más importantes del planeamiento urbano. Nuestras agendas urbanas necesitan hacer frente a los retos de transformación pero sin olvidar la habitabilidad como motor de estas actuaciones. ¿Pero qué es una ciudad habitable? Probablemente cada uno de nosotros tenga una opinión diferente de cuál es mejor lugar para vivir en la ciudad. Quizá, incluso, nos cueste decidir qué es lo que hace que la ciudad se convierta en un lugar donde querer quedarse. ¿Es el espacio público, el arbolado, el mobiliario urbano, la anchura de las calles, las actividades en planta baja, sus edificios?
Gracias a Mercè (http://merce.300000.eu), un algoritmo de inteligencia artificial, los ciudadanos pueden mostrar sus preferencias y generar un banco de conocimiento que permitirá identificar los patrones que existen entre las diversas opiniones, haciendo medible lo subjetivo y definiendo métricas sobre lo cualitativo para interponer en las agendas urbanas la habitabilidad como algo tangible.
"
107;"Líneas de investigación
1. Transhumanismos, comportamientos e identidades-memoria
OBJETIVO 1. Reflexiones sobre el impacto de las nuevas tecnologías en la autopercepción-comportamiento de los habitantes/visitantes de los espacios turistificados-gentrificados.
2. Memorias colectivas en espacios gentrificados y turistificados
OBJETIVO 2: Análisis y estudio de memorias colectivas en espacios gentrificados y turistificados.
3. Narrar el pasado, pensar el presente, actuar para el futuro
OBJETIVO 3: Comparación de memorias y experiencias con la historia mediática u oficial y con la académica, y análisis transdisciplinar de experiencias pasadas, presentes y futuras (a nivel local, glocal y global) desde una perspectiva socio-ecológica, de diversidad funcional y de género.
4. Metodologías críticas y ciencia ciudadana
OBJETIVO 4: Estudio crítico sobre las diversas narrativas académicas, y replanteamiento de las mismas teniendo en cuenta el lugar del académico respecto de las disciplinas y casos de estudio, así como las metodologías y saberes de la ciencia ciudadana, para generar una ciencia más rigurosa (I+D) y de mayor impacto social (difusión-transferencia).
"
108;"El proyecto Ríos nace en 1997 con el objetivo de estimular la participación activa de la sociedad en la conservación y mejora de los ríos. Desde hace años destaca como líder en voluntariado ambiental en Cataluña (4459 voluntarios durante 2018)
"
109;
110;"El proyecto Biodibal nace en el año 2017 a partir de un convenio de colaboración entre la Universitat de les Illes Balears y Red Eléctrica de España. El objetivo principal de Biodibal es garantizar el acceso libre y gratuito a la información existente sobre biodiversidad de las Illes Balears.
A partir de este objetivo principal, el proyecto se plantea sobre tres objetivos específicos:
1. Reunir y organizar el conocimiento sobre biodiversidad de las Illes Balears para convertirlo en activo intelectual.
2. Dar a conocer esta información a través de material divulgativo diseñado para complementar los currículums educativos.
3. Poner esta información al alcance de cualquier persona interesada.
Biodibal nace con la voluntat de impulsar la colaboración entre instituciones, investigadores, gestores, naturalistas y, en general, cualquier persona interesada en la biodiversidad para aglutinar y hacer crecer el conocimiento, abrir nuevas líneas de investigación y promover la gestión y conservación de la naturaleza.
Plataforma web (www.biodibal.uib.cat) dedicada al registro y análisis de información sobre Biodiversidad de las Islas Baleares con una finalidad científico-tècnica, educativa y turística.
Estudiamos la idoneidad de los datos obtenidos a partir de ciencia ciudadana como herramienta de toma de decisiones de gestión de carácter medioambiental
"
111;"Estudio piloto en diferentes países europeos (España) Para promover el trabajo colaborativo entre investigadores y público no especializado para recopilar información sobre la presencia de mamíferos silvestres, lo que hará posible una mayor comprensión de la distribución de estas especies para poder tomar decisiones con conocimiento de causa, teniendo en cuenta la gestión y la conservación de los mamíferos.
"
112;"Con la colaboración ciudadana queremos estudiar los cultivos en sus áreas geográficas de origen gracias a una sencilla recogida de datos durante esos procesos de cultivo. Desde el CITA, queremos acercar a la ciudadanía la información sobre la conservación y gestión de los recursos genéticos.
"
113;"Queremos involucrar a las personas en la construcción activa de la ciencia, a enseñar a observar, investigar y compartir. ¡La ciencia es de todos y para todos!
"
114;"No existe información disponible a escala europea sobre el número, la localización o la tipología de las barreras fluviales más allá de la información sobre las grandes presas. El Atlas Europeo de barreras fluviales se ha construido recopilando las bases de datos existentes, provenientes en su mayor parte de las administraciones, pero estos inventarios son incompletos. 
La aplicación Barrier Tracker permite la colaboración ciudadana en el registro y geolocalización de obstáculos en los ríos para completar dicha información y producir un Atlas Europeo de barreras fluviales que ayude a los gestores en la toma de decisiones y les permita priorizar los esfuerzos de restauración.
"
